flight_id,event_time,longitude,latitude,altitude,speed,on_ground,vert_speed
e52d678,2017-08-02T11:34:01Z,11.25086,44.54971,1525,176,0,2496
e51ab21,2017-08-02T11:21:32Z,23.13336,58.3807,36000,407,0,0
e525890,2017-08-02T11:35:24Z,6.05401,38.65348,40000,513,0,0
e52c43d,2017-08-02T11:12:16Z,16.0621,45.73854,0,125,0,0
e528944,2017-08-02T11:14:50Z,22.42472,41.47335,40000,462,0,0
e52b165,2017-08-02T11:12:24Z,-17.59576,63.09566,35000,440,0,0
e52b165,2017-08-02T11:15:48Z,-16.77834,62.90265,35025,442,0,0
e5259c3,2017-08-02T11:13:34Z,26.3766,44.31121,40000,474,0,0
e5259c3,2017-08-02T11:13:13Z,26.43177,44.28804,40000,474,0,-64
e52b165,2017-08-02T11:37:35Z,-12.06732,61.56041,35000,463,0,0
e52b165,2017-08-02T11:37:11Z,-12.12383,61.59486,35000,463,0,0
e52c43d,2017-08-02T11:17:06Z,16.07582,45.95163,10025,277,0,2944
e52d310,2017-08-02T11:38:00Z,10.75049,59.77126,19375,356,0,2944
e529378,2017-08-02T11:32:47Z,17.57772,46.5439,36000,454,0,0
e5259c3,2017-08-02T11:39:05Z,22.32148,45.91435,40000,453,0,0
e529378,2017-08-02T11:18:38Z,19.70752,45.51672,36000,452,0,0
e5259c3,2017-08-02T11:18:44Z,25.55414,44.65542,40000,472,0,0
e528944,2017-08-02T11:33:33Z,19.9727,43.01241,39975,462,0,0
e52cda9,2017-08-02T11:39:47Z,-3.6076,41.13131,21325,379,0,3392
e51ab21,2017-08-02T11:19:20Z,23.56165,58.4839,36000,409,0,0
e52b165,2017-08-02T11:40:11Z,-11.70156,61.33658,35000,463,0,0
e525890,2017-08-02T11:40:28Z,5.97586,39.36246,40000,505,0,0
e528944,2017-08-02T11:17:05Z,22.13615,41.66478,40000,461,0,0
e52d310,2017-08-02T11:40:25Z,10.498,59.56294,25575,381,0,2624
e52c43d,2017-08-02T11:20:40Z,15.67019,46.12894,17750,354,0,2112
e51ab21,2017-08-02T11:35:46Z,20.31744,57.69979,38000,429,0,0
e52dabc,2017-08-02T11:42:20Z,11.79859,48.36134,0,34,1,0
e51d2a1,2017-08-02T11:42:45Z,13.36496,55.71094,39975,427,0,0
e52d631,2017-08-02T11:42:52Z,16.35542,48.09847,4325,267,0,2688
e52d7eb,2017-08-02T11:42:22Z,-3.5889,40.48699,0,0,1,0
e529378,2017-08-02T11:21:32Z,19.28884,45.74139,36000,456,0,0
e52cda9,2017-08-02T11:44:13Z,-3.3638,41.59131,29575,426,0,1856
e52d169,2017-08-02T11:44:12Z,12.04766,42.10083,11325,351,0,1152
e525890,2017-08-02T11:43:28Z,5.89728,39.77674,40000,503,0,0
e52cda9,2017-08-02T11:30:35Z,-3.57305,40.49186,0,15,1,0
e529378,2017-08-02T11:30:38Z,17.91286,46.39326,36000,461,0,0
e52cd13,2017-08-02T11:38:22Z,19.52718,47.49458,9300,303,0,1856
e52b165,2017-08-02T11:31:05Z,-13.20485,61.97048,35000,460,0,0
e525890,2017-08-02T11:31:26Z,5.999,38.09157,40000,512,0,0
